phase,cell,metric,old,amended,difference
mechanism_discovery,head_on_1.15,directed_drift_alpha0.8,3.7722968705524664,3.7722968705524664,0.0
mechanism_discovery,head_on_1.15,centroid_drift_alpha0.8,4.3604045163815845,4.3604045163815845,0.0
mechanism_discovery,head_on_1.15,hausdorff_alpha0.8,6.046768803601324,6.046768803601324,0.0
mechanism_discovery,head_on_1.15,raw_ratio_alpha0.8,-0.4324252275157193,-0.4324252275157193,0.0
mechanism_discovery,head_on_1.3,Theta_alpha0.9,0.0,0.0,0.0
mechanism_discovery,head_on_1.3,R_raw_alpha0.9,-1.9987265113287511,-1.9987265113287511,0.0
mechanism_discovery,head_on_1.3,directed_drift_alpha0.9,4.997179806162406,4.997179806162406,0.0
mechanism_discovery,head_on_1.3,centroid_drift_alpha0.9,4.989566332429753,4.989566332429753,0.0
mechanism_discovery,head_on_1.3,hausdorff_alpha0.9,6.327430956417352,6.327430956417352,0.0
mechanism_discovery,head_on_1.3,raw_ratio_alpha0.9,-0.47054791953744046,-0.47054791953744046,0.0
mechanism_discovery,head_on_1.3,Theta_alpha0.8,0.0,0.0,0.0
mechanism_discovery,head_on_1.3,R_raw_alpha0.8,-1.8896166173606486,-1.8896166173606486,0.0
mechanism_discovery,head_on_1.3,directed_drift_alpha0.8,3.7785869155082947,3.7785869155082947,0.0
mechanism_discovery,head_on_1.3,centroid_drift_alpha0.8,4.346113897916146,4.346113897916146,0.0
mechanism_discovery,head_on_1.3,hausdorff_alpha0.8,5.99070478491457,5.99070478491457,0.0
mechanism_discovery,head_on_1.3,raw_ratio_alpha0.8,-0.4614004515087315,-0.4614004515087315,0.0
mechanism_discovery,head_on_1,Theta_alpha0.9,0.0,0.0,0.0
mechanism_discovery,head_on_1,R_raw_alpha0.9,-0.9659327788897223,-0.9659327788897223,0.0
mechanism_discovery,head_on_1,directed_drift_alpha0.9,5.06105159898997,5.06105159898997,0.0
mechanism_discovery,head_on_1,centroid_drift_alpha0.9,5.30139898629011,5.30139898629011,0.0
mechanism_discovery,head_on_1,hausdorff_alpha0.9,6.654861912834703,6.654861912834703,0.0
mechanism_discovery,head_on_1,raw_ratio_alpha0.9,-0.2040002059576433,-0.2040002059576433,0.0
mechanism_discovery,head_on_1,Theta_alpha0.8,0.0,0.0,0.0
mechanism_discovery,head_on_1,R_raw_alpha0.8,-1.4496434187551273,-1.4496434187551273,0.0
mechanism_discovery,head_on_1,directed_drift_alpha0.8,3.7785869155082947,3.7785869155082947,0.0
mechanism_discovery,head_on_1,centroid_drift_alpha0.8,4.751699885444399,4.751699885444399,0.0
mechanism_discovery,head_on_1,hausdorff_alpha0.8,6.558043945945933,6.558043945945933,0.0
mechanism_discovery,head_on_1,raw_ratio_alpha0.8,-0.29052422026809327,-0.29052422026809327,0.0
mechanism_discovery,parallel_0.7,Theta_alpha0.9,0.16042502759905913,0.16042502759905913,0.0
