geometry,eta_r,eta_v,K,iter,V,L,U,rel_gap,evals,methods_b,methods_r
parallel,0.8,1.0,4,1,-12.7846,-12.7846,0.103,1.0081,17257,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.0,4,2,-9.2456,-9.2456,8.0429,1.8699,18473,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,0.8,1.0,4,3,-15.0097,-15.0097,4.6195,1.3078,17228,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,0.8,3,1,11.7977,11.7977,45.3974,2.848,19044,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,0.8,3,2,7.5327,7.5327,29.7732,2.9525,17334,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,0.8,3,3,13.2068,13.2068,24.7538,0.8743,20769,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,1.2,3,1,4.6332,4.6332,22.4587,3.8473,17608,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,1.2,3,2,18.4129,18.4129,22.0622,0.1982,18018,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,1.2,3,3,19.5079,19.5079,25.0084,0.282,19005,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,0.8,4,1,11.7977,11.7977,45.3974,2.848,19044,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,0.8,4,2,7.5327,7.5327,29.7732,2.9525,17334,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,0.8,4,3,13.2068,13.2068,24.7538,0.8743,20769,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
parallel,1.2,1.0,3,1,4.5492,4.5492,29.5551,5.4968,19939,sobol48+lbfgs;lbfgs-deep;powell,sobol48+lbfgs;lbfgs-deep;powell
